time,battery,temperature,x,y,z,0_radar,1_radar,2_radar,3_radar,4_radar,5_radar,6_radar,7_radar,package_type,f_cnt,dr,snr,rssi
2024-02-13 11:39:59.709,3.02,14.12,458,-249,-1423,63,18,16,12,9,6,11,10,PackageType.CHANGE,229,1,8.8,-100
2024-02-13 11:53:30.483,3.04,15.25,216,-243,-1328,59,13,10,5,5,10,10,3,PackageType.CHANGE,231,1,11.8,-96
2024-02-13 12:07:58.041,3.04,16.0,179,-248,-1239,67,13,7,6,6,6,5,5,PackageType.CHANGE,232,1,13,-103
2024-02-13 12:17:58.606,3.04,16.0,170,-249,-1218,72,17,7,5,6,6,6,5,PackageType.HEART_BEAT,233,1,11,-95
2024-02-13 12:27:57.606,3.04,16.5,167,-251,-1211,72,17,7,5,6,6,6,5,PackageType.HEART_BEAT,233,1,11,-95
2024-02-13 12:37:57.606,3.04,16.88,159,-253,-1195,72,17,7,5,6,6,6,5,PackageType.HEART_BEAT,233,1,11,-95
2024-02-13 12:47:59.143,3.04,17.25,155,-251,-1184,52,13,8,4,5,6,7,7,PackageType.HEART_BEAT,234,1,12.5,-107
2024-02-13 12:57:59.143,3.04,17.62,154,-253,-1182,52,13,8,4,5,6,7,7,PackageType.HEART_BEAT,234,1,12.5,-107
2024-02-13 13:08:00.143,3.04,18.0,148,-254,-1164,52,13,8,4,5,6,7,7,PackageType.HEART_BEAT,234,1,12.5,-107
2024-02-13 13:17:59.907,3.04,18.38,141,-249,-1149,55,11,7,6,6,6,6,6,PackageType.HEART_BEAT,235,1,8.8,-101
2024-02-13 13:27:58.907,3.04,18.62,132,-254,-1146,55,11,7,6,6,6,6,6,PackageType.HEART_BEAT,235,1,8.8,-101
2024-02-13 13:37:58.907,3.04,19.0,135,-252,-1141,55,11,7,6,6,6,6,6,PackageType.HEART_BEAT,235,1,8.8,-101
2024-02-13 13:47:59.446,3.04,19.12,130,-250,-1138,48,9,8,6,4,6,6,5,PackageType.HEART_BEAT,236,1,11.2,-102
2024-02-13 13:58:01.446,3.04,19.38,129,-251,-1126,48,9,8,6,4,6,6,5,PackageType.HEART_BEAT,236,1,11.2,-102
2024-02-13 14:08:02.446,3.04,19.62,126,-251,-1119,48,9,8,6,4,6,6,5,PackageType.HEART_BEAT,236,1,11.2,-102
2024-02-13 14:18:02.381,3.04,19.75,123,-247,-1117,44,10,7,5,7,7,5,4,PackageType.HEART_BEAT,237,1,9.2,-96
2024-02-13 14:28:02.381,3.04,20.0,119,-250,-1113,44,10,7,5,7,7,5,4,PackageType.HEART_BEAT,237,1,9.2,-96
2024-02-13 14:38:02.381,3.04,20.12,121,-252,-1113,44,10,7,5,7,7,5,4,PackageType.HEART_BEAT,237,1,9.2,-96
2024-02-13 14:48:02.386,3.04,20.38,113,-251,-1101,38,9,8,5,5,5,6,4,PackageType.HEART_BEAT,238,1,6.2,-119
2024-02-13 14:58:02.386,3.04,20.5,109,-248,-1102,38,9,8,5,5,5,6,4,PackageType.HEART_BEAT,238,1,6.2,-119
2024-02-13 15:08:01.386,3.04,20.62,107,-253,-1098,38,9,8,5,5,5,6,4,PackageType.HEART_BEAT,238,1,6.2,-119
2024-02-13 15:18:00.947,3.04,20.75,110,-249,-1088,41,10,6,5,7,7,5,6,PackageType.HEART_BEAT,239,2,5.8,-109
2024-02-13 15:27:59.947,3.04,20.88,107,-252,-1093,41,10,6,5,7,7,5,6,PackageType.HEART_BEAT,239,2,5.8,-109
2024-02-13 15:37:58.947,3.04,21.0,108,-252,-1088,41,10,6,5,7,7,5,6,PackageType.HEART_BEAT,239,2,5.8,-109
2024-02-13 15:47:58.465,3.04,21.0,104,-251,-1085,38,10,6,4,7,7,5,6,PackageType.HEART_BEAT,240,2,6,-108
2024-02-13 15:57:59.465,3.04,21.12,100,-252,-1086,38,10,6,4,7,7,5,6,PackageType.HEART_BEAT,240,2,6,-108
2024-02-13 16:08:01.465,3.04,21.25,101,-253,-1077,38,10,6,4,7,7,5,6,PackageType.HEART_BEAT,240,2,6,-108
2024-02-13 16:17:58.507,3.04,21.25,101,-251,-1079,38,8,7,5,5,5,7,7,PackageType.HEART_BEAT,241,2,6.2,-113
2024-02-13 16:27:58.507,3.04,21.25,102,-252,-1076,38,8,7,5,5,5,7,7,PackageType.HEART_BEAT,241,2,6.2,-113
2024-02-13 16:37:58.507,3.04,21.38,99,-254,-1077,38,8,7,5,5,5,7,7,PackageType.HEART_BEAT,241,2,6.2,-113
2024-02-13 16:47:57.284,3.04,21.38,101,-254,-1071,40,9,8,6,6,6,6,4,PackageType.HEART_BEAT,242,2,3.8,-112
2024-02-13 16:58:00.284,3.04,21.5,98,-254,-1074,40,9,8,6,6,6,6,4,PackageType.HEART_BEAT,242,2,3.8,-112
2024-02-13 17:08:00.284,3.04,21.5,98,-253,-1073,40,9,8,6,6,6,6,4,PackageType.HEART_BEAT,242,2,3.8,-112
2024-02-13 17:18:00.029,3.04,21.5,96,-253,-1068,37,9,6,5,7,7,6,6,PackageType.HEART_BEAT,243,2,4.2,-107
2024-02-13 17:28:00.029,3.04,21.5,99,-252,-1064,37,9,6,5,7,7,6,6,PackageType.HEART_BEAT,243,2,4.2,-107
2024-02-13 17:38:00.029,3.04,21.62,99,-253,-1072,37,9,6,5,7,7,6,6,PackageType.HEART_BEAT,243,2,4.2,-107
2024-02-13 17:47:59.665,3.04,21.62,98,-256,-1068,37,10,7,6,6,7,7,7,PackageType.HEART_BEAT,244,2,6,-109
2024-02-13 17:57:59.665,3.04,21.62,98,-258,-1063,37,10,7,6,6,7,7,7,PackageType.HEART_BEAT,244,2,6,-109
2024-02-13 18:07:59.665,3.04,21.75,98,-251,-1072,37,10,7,6,6,7,7,7,PackageType.HEART_BEAT,244,2,6,-109
2024-02-13 18:17:58.106,3.04,21.75,94,-256,-1068,40,9,8,6,6,5,4,5,PackageType.HEART_BEAT,245,2,7.2,-111
2024-02-13 18:27:57.106,3.04,21.75,97,-259,-1067,40,9,8,6,6,5,4,5,PackageType.HEART_BEAT,245,2,7.2,-111
2024-02-13 18:37:55.106,3.04,21.75,96,-250,-1063,40,9,8,6,6,5,4,5,PackageType.HEART_BEAT,245,2,7.2,-111
2024-02-13 18:47:55.151,3.04,21.75,95,-256,-1065,40,10,6,5,5,6,6,4,PackageType.HEART_BEAT,246,2,6.2,-111
2024-02-13 18:57:56.151,3.04,21.75,97,-254,-1062,40,10,6,5,5,6,6,4,PackageType.HEART_BEAT,246,2,6.2,-111
2024-02-13 19:07:55.151,3.04,21.88,91,-250,-1062,40,10,6,5,5,6,6,4,PackageType.HEART_BEAT,246,2,6.2,-111
2024-02-13 19:17:55.543,3.04,21.75,97,-252,-1061,37,10,8,6,6,5,5,5,PackageType.HEART_BEAT,247,2,6,-111
2024-02-13 19:27:55.543,3.04,21.88,96,-251,-1060,37,10,8,6,6,5,5,5,PackageType.HEART_BEAT,247,2,6,-111
2024-02-13 19:37:53.543,3.04,21.88,97,-254,-1063,37,10,8,6,6,5,5,5,PackageType.HEART_BEAT,247,2,6,-111
2024-02-13 19:47:53.182,3.04,21.88,95,-257,-1059,39,11,8,5,4,4,5,6,PackageType.HEART_BEAT,248,2,6,-114
2024-02-13 19:57:53.182,3.04,21.88,94,-251,-1062,39,11,8,5,4,4,5,6,PackageType.HEART_BEAT,248,2,6,-114
2024-02-13 20:07:57.182,3.04,21.88,95,-257,-1062,39,11,8,5,4,4,5,6,PackageType.HEART_BEAT,248,2,6,-114
2024-02-13 20:17:55.044,3.04,21.88,96,-257,-1066,36,13,8,5,5,5,5,5,PackageType.HEART_BEAT,249,2,4.5,-113
2024-02-13 20:27:56.044,3.04,21.88,94,-254,-1056,36,13,8,5,5,5,5,5,PackageType.HEART_BEAT,249,2,4.5,-113
2024-02-13 20:37:55.044,3.04,21.88,97,-252,-1060,36,13,8,5,5,5,5,5,PackageType.HEART_BEAT,249,2,4.5,-113
